Location,Mass,Sex,Shell Length
sbarb,222.33,M,131.26
sbarb,124.274,F,109.47
sbarb,134.426,F,108.32
sbarb,264.258,M,141.54
sbarb,251.199,F,135.67
sbarb,249.557,M,128.17
sbarb,294.647,F,143.06
sbarb,86.15,M,101.76
sbarb,142.518,F,112.2
sbarb,231.971,F,128.03
sbarb,151.365,M,95.29
sbarb,53.015,M,79.31
sbarb,125.648,F,96.54
sbarb,92.342,M,101.37
sbarb,124.179,F,102.32
sbarb,234.279,F,133.69
sbarb,238.789,M,134.62
sbarb,111.966,M,96.38
sbarb,220.77,M,121.92
sbarb,85.739,F,103.86
sbarb,219.047,M,139.84
sbarb,140.562,M,105.69
sbarb,121.385,F,103.06
sbarb,209.805,F,122.21
sbarb,105.459,F,98.69
sbarb,151.812,F,116.16
sbarb,182.452,F,115.82
sbarb,169.519,F,120.06
sbarb,267.105,F,139.58
sbarb,173.027,F,116.57
sbarb,104.18,F,98.99
sbarb,272.068,F,130.11
sbarb,262.477,F,136.15
sbarb,168.654,F,117.7
sbarb,192.219,F,128.96
sbarb,184.893,F,110.98
sbarb,213.479,F,124.48
sbarb,263.825,F,130.74
sbarb,125.247,F,103.76
sbarb,128.951,M,120.24
sbarb,180.465,F,126.43
sbarb,354.513,F,na
sbarb,166.212,F,115.3
sbarb,191.235,F,123.05
sbarb,192.679,F,112.8
sbarb,158.35,M,102.2
sbarb,239.569,F,130.99
sbarb,81.261,M,98.77
sbarb,336.834,F,140.42
sbarb,187.035,M,124.98
sbarb,212.403,F,130.85
sbarb,99.233,F,99.82
sbarb,140.565,M,114.41
sbarb,47.629,M,82.76
sbarb,151.414,M,111.74
sbarb,132.573,M,112.87
sbarb,209.096,F,121.16
sbarb,97.515,F,101.43
sbarb,85.453,F,89.68
sbarb,152.623,na,122.28
sbarb,136.113,F,107.89
sbarb,124.305,M,96.22
sbarb,111.379,F,105.25
sbarb,116.25,F,105.49
sbarb,118.477,F,94.06
sbarb,182.315,F,113.27
sbarb,101.718,M,98.35
sbarb,164.265,F,105.17
sbarb,104.805,M,110.59
sbarb,283.178,M,142.96
sbarb,71.085,M,93.47
sbarb,386.673,F,142.94
sbarb,80.131,F,101.63
sbarb,305.598,F,139.22
sbarb,251.68,M,127.16
sbarb,312.369,F,140.99
sbarb,117.41,M,112.71
sbarb,132.811,F,105.47
sbarb,153.631,M,106.93
sbarb,132.992,F,105.79
sbarb,106.695,F,111.69
sbarb,139.249,M,107.32
sbarb,145.203,F,105.35
sbarb,308.708,F,134.87
sbarb,358.803,F,151.34
sbarb,196.884,F,114.27
sbarb,115.854,F,103.18
sbarb,187.073,na,114.25
sbarb,154.994,M,112.18
sbarb,256.171,F,126.44
sbarb,141.292,F,118.25
sbarb,241.314,F,127.17
sbarb,244.303,F,129.79
sbarb,244.951,M,128.91
sbarb,223.941,M,121.94
sbarb,261.341,F,127.74
sbarb,212.567,F,121.32
sbarb,134.726,F,116.28
